id,filename,label,filepath
1,blues.00000.wav,blues,blues/blues.00000.wav
2,blues.00001.wav,blues,blues/blues.00001.wav
3,blues.00002.wav,blues,blues/blues.00002.wav
4,blues.00003.wav,blues,blues/blues.00003.wav
5,blues.00004.wav,blues,blues/blues.00004.wav
6,blues.00005.wav,blues,blues/blues.00005.wav
7,blues.00006.wav,blues,blues/blues.00006.wav
8,blues.00007.wav,blues,blues/blues.00007.wav
9,blues.00008.wav,blues,blues/blues.00008.wav
10,blues.00009.wav,blues,blues/blues.00009.wav
11,blues.00010.wav,blues,blues/blues.00010.wav
12,blues.00011.wav,blues,blues/blues.00011.wav
13,blues.00012.wav,blues,blues/blues.00012.wav
14,blues.00013.wav,blues,blues/blues.00013.wav
15,blues.00014.wav,blues,blues/blues.00014.wav
16,blues.00015.wav,blues,blues/blues.00015.wav
17,blues.00016.wav,blues,blues/blues.00016.wav
18,blues.00017.wav,blues,blues/blues.00017.wav
19,blues.00018.wav,blues,blues/blues.00018.wav
20,blues.00019.wav,blues,blues/blues.00019.wav
21,blues.00020.wav,blues,blues/blues.00020.wav
22,blues.00021.wav,blues,blues/blues.00021.wav
23,blues.00022.wav,blues,blues/blues.00022.wav
24,blues.00023.wav,blues,blues/blues.00023.wav
25,blues.00024.wav,blues,blues/blues.00024.wav
26,blues.00025.wav,blues,blues/blues.00025.wav
27,blues.00026.wav,blues,blues/blues.00026.wav
28,blues.00027.wav,blues,blues/blues.00027.wav
29,blues.00028.wav,blues,blues/blues.00028.wav
30,blues.00029.wav,blues,blues/blues.00029.wav
31,blues.00030.wav,blues,blues/blues.00030.wav
32,blues.00031.wav,blues,blues/blues.00031.wav
33,blues.00032.wav,blues,blues/blues.00032.wav
34,blues.00033.wav,blues,blues/blues.00033.wav
35,blues.00034.wav,blues,blues/blues.00034.wav
36,blues.00035.wav,blues,blues/blues.00035.wav
37,blues.00036.wav,blues,blues/blues.00036.wav
38,blues.00037.wav,blues,blues/blues.00037.wav
39,blues.00038.wav,blues,blues/blues.00038.wav
40,blues.00039.wav,blues,blues/blues.00039.wav
41,blues.00040.wav,blues,blues/blues.00040.wav
42,blues.00041.wav,blues,blues/blues.00041.wav
43,blues.00042.wav,blues,blues/blues.00042.wav
44,blues.00043.wav,blues,blues/blues.00043.wav
